datasetID	vocabulary	triples
20	http://www.w3.org/1999/02/22-rdf-syntax-ns#	86
20	http://www.w3.org/2000/01/rdf-schema#	87
20	http://www.w3.org/ns/dcat#	1
20	opendatacommunities.org	255
20	publishmydata.com	3
21	http://purl.org/dc/terms/	9
21	http://purl.org/linked-data/cube#	23
21	http://purl.org/linked-data/sdmx/2009/attribute#	7
21	http://purl.org/linked-data/sdmx/2009/dimension#	23
21	http://purl.org/linked-data/sdmx/2009/measure#	23
21	http://rdfs.org/ns/void#	3
21	http://www.w3.org/1999/02/22-rdf-syntax-ns#	24
21	http://www.w3.org/2000/01/rdf-schema#	26
21	http://www.w3.org/ns/dcat#	1
21	opendatacommunities.org	125
21	publishmydata.com	3
22	http://purl.org/linked-data/cube#	168
22	http://www.w3.org/1999/02/22-rdf-syntax-ns#	84
22	http://www.w3.org/2000/01/rdf-schema#	84
22	opendatacommunities.org	252
23	http://purl.org/dc/terms/	9
23	http://purl.org/linked-data/cube#	176
23	http://rdfs.org/ns/void#	3
23	http://www.w3.org/1999/02/22-rdf-syntax-ns#	89
23	http://www.w3.org/2000/01/rdf-schema#	90
23	http://www.w3.org/ns/dcat#	1
23	opendatacommunities.org	264
23	publishmydata.com	3
24	http://purl.org/dc/terms/	9
24	http://purl.org/linked-data/cube#	160
24	http://rdfs.org/ns/void#	3
24	http://www.w3.org/1999/02/22-rdf-syntax-ns#	81
24	http://www.w3.org/2000/01/rdf-schema#	82
24	http://www.w3.org/ns/dcat#	1
24	opendatacommunities.org	240
24	publishmydata.com	3
26	http://purl.org/linked-data/cube#	176
26	http://www.w3.org/1999/02/22-rdf-syntax-ns#	88
26	http://www.w3.org/2000/01/rdf-schema#	88
26	opendatacommunities.org	264
27	http://purl.org/dc/terms/	88
27	http://purl.org/linked-data/cube#	176
27	http://www.w3.org/1999/02/22-rdf-syntax-ns#	88
27	http://www.w3.org/2000/01/rdf-schema#	88
27	opendatacommunities.org	352
28	http://purl.org/linked-data/cube#	10
28	http://purl.org/linked-data/sdmx/2009/attribute#	10
28	http://purl.org/linked-data/sdmx/2009/dimension#	10
28	http://purl.org/linked-data/sdmx/2009/measure#	10
28	http://www.w3.org/1999/02/22-rdf-syntax-ns#	10
28	http://www.w3.org/2000/01/rdf-schema#	11
28	opendatacommunities.org	57
30	http://purl.org/dc/terms/	9
30	http://purl.org/linked-data/cube#	172
30	http://rdfs.org/ns/void#	3
30	http://www.w3.org/1999/02/22-rdf-syntax-ns#	87
30	http://www.w3.org/2000/01/rdf-schema#	88
30	http://www.w3.org/ns/dcat#	1
30	opendatacommunities.org	258
30	publishmydata.com	3
31	http://purl.org/linked-data/cube#	168
31	http://www.w3.org/1999/02/22-rdf-syntax-ns#	84
31	http://www.w3.org/2000/01/rdf-schema#	84
31	opendatacommunities.org	252
32	http://purl.org/linked-data/cube#	172
32	http://www.w3.org/1999/02/22-rdf-syntax-ns#	86
32	http://www.w3.org/2000/01/rdf-schema#	86
32	opendatacommunities.org	258
33	http://purl.org/linked-data/cube#	178
33	http://www.w3.org/1999/02/22-rdf-syntax-ns#	89
33	http://www.w3.org/2000/01/rdf-schema#	89
33	opendatacommunities.org	267
34	http://purl.org/linked-data/cube#	178
34	http://www.w3.org/1999/02/22-rdf-syntax-ns#	89
34	http://www.w3.org/2000/01/rdf-schema#	89
34	opendatacommunities.org	267
35	http://purl.org/linked-data/cube#	172
35	http://www.w3.org/1999/02/22-rdf-syntax-ns#	86
35	http://www.w3.org/2000/01/rdf-schema#	86
35	opendatacommunities.org	258
36	http://purl.org/dc/terms/	9
36	http://purl.org/linked-data/cube#	168
36	http://rdfs.org/ns/void#	3
36	http://www.w3.org/1999/02/22-rdf-syntax-ns#	85
36	http://www.w3.org/2000/01/rdf-schema#	86
36	http://www.w3.org/ns/dcat#	1
36	opendatacommunities.org	252
36	publishmydata.com	3
37	http://purl.org/linked-data/cube#	1
37	http://purl.org/linked-data/sdmx/2009/attribute#	2
37	http://purl.org/linked-data/sdmx/2009/dimension#	1
37	http://purl.org/linked-data/sdmx/2009/measure#	1
37	http://www.w3.org/1999/02/22-rdf-syntax-ns#	1
37	http://www.w3.org/2000/01/rdf-schema#	2
37	opendatacommunities.org	4
38	http://purl.org/linked-data/cube#	170
38	http://www.w3.org/1999/02/22-rdf-syntax-ns#	85
38	http://www.w3.org/2000/01/rdf-schema#	85
38	opendatacommunities.org	255
39	http://purl.org/linked-data/cube#	172
39	http://www.w3.org/1999/02/22-rdf-syntax-ns#	86
39	http://www.w3.org/2000/01/rdf-schema#	86
39	opendatacommunities.org	258
40	http://purl.org/linked-data/cube#	172
40	http://www.w3.org/1999/02/22-rdf-syntax-ns#	86
40	http://www.w3.org/2000/01/rdf-schema#	86
40	opendatacommunities.org	258
41	http://purl.org/dc/terms/	9
41	http://purl.org/linked-data/cube#	16
41	http://purl.org/linked-data/sdmx/2009/dimension#	16
41	http://purl.org/linked-data/sdmx/2009/measure#	16
41	http://rdfs.org/ns/void#	3
41	http://www.w3.org/1999/02/22-rdf-syntax-ns#	17
41	http://www.w3.org/2000/01/rdf-schema#	19
41	http://www.w3.org/ns/dcat#	1
41	opendatacommunities.org	79
41	publishmydata.com	3
42	http://purl.org/linked-data/cube#	12
42	http://purl.org/linked-data/sdmx/2009/dimension#	12
42	http://purl.org/linked-data/sdmx/2009/measure#	12
42	http://www.w3.org/1999/02/22-rdf-syntax-ns#	12
42	http://www.w3.org/2000/01/rdf-schema#	13
42	opendatacommunities.org	59
43	http://purl.org/linked-data/cube#	178
43	http://www.w3.org/1999/02/22-rdf-syntax-ns#	89
43	http://www.w3.org/2000/01/rdf-schema#	89
43	opendatacommunities.org	267
45	http://purl.org/dc/terms/	9
45	http://purl.org/linked-data/cube#	4
45	http://purl.org/linked-data/sdmx/2009/attribute#	4
45	http://purl.org/linked-data/sdmx/2009/measure#	4
45	http://rdfs.org/ns/void#	3
45	http://www.w3.org/1999/02/22-rdf-syntax-ns#	5
45	http://www.w3.org/2000/01/rdf-schema#	7
45	http://www.w3.org/ns/dcat#	1
45	opendatacommunities.org	19
45	publishmydata.com	3
46	http://purl.org/dc/terms/	9
46	http://purl.org/linked-data/cube#	174
46	http://rdfs.org/ns/void#	3
46	http://www.w3.org/1999/02/22-rdf-syntax-ns#	88
46	http://www.w3.org/2000/01/rdf-schema#	89
46	http://www.w3.org/ns/dcat#	1
46	opendatacommunities.org	261
46	publishmydata.com	3
47	http://purl.org/dc/terms/	9
47	http://rdfs.org/ns/void#	3
47	http://www.w3.org/1999/02/22-rdf-syntax-ns#	2
47	http://www.w3.org/2000/01/rdf-schema#	2
47	http://www.w3.org/ns/dcat#	1
47	publishmydata.com	4
48	http://purl.org/dc/terms/	83
48	http://purl.org/linked-data/cube#	166
48	http://www.w3.org/1999/02/22-rdf-syntax-ns#	83
48	http://www.w3.org/2000/01/rdf-schema#	83
48	opendatacommunities.org	332
49	http://purl.org/dc/terms/	9
49	http://rdfs.org/ns/void#	3
49	http://www.w3.org/1999/02/22-rdf-syntax-ns#	2
49	http://www.w3.org/2000/01/rdf-schema#	2
49	http://www.w3.org/ns/dcat#	1
49	publishmydata.com	4
50	http://purl.org/linked-data/cube#	164
50	http://purl.org/linked-data/sdmx/2009/dimension#	164
50	http://www.w3.org/1999/02/22-rdf-syntax-ns#	82
50	http://www.w3.org/2000/01/rdf-schema#	82
50	opendatacommunities.org	246
51	http://purl.org/dc/terms/	9
51	http://purl.org/linked-data/cube#	12
51	http://purl.org/linked-data/sdmx/2009/dimension#	12
51	http://purl.org/linked-data/sdmx/2009/measure#	12
51	http://rdfs.org/ns/void#	3
51	http://www.w3.org/1999/02/22-rdf-syntax-ns#	13
51	http://www.w3.org/2000/01/rdf-schema#	15
51	http://www.w3.org/ns/dcat#	1
51	opendatacommunities.org	59
51	publishmydata.com	3
52	http://purl.org/dc/terms/	9
52	http://purl.org/linked-data/cube#	172
52	http://rdfs.org/ns/void#	3
52	http://www.w3.org/1999/02/22-rdf-syntax-ns#	87
52	http://www.w3.org/2000/01/rdf-schema#	88
52	http://www.w3.org/ns/dcat#	1
52	opendatacommunities.org	258
52	publishmydata.com	3
53	http://purl.org/linked-data/cube#	168
53	http://www.w3.org/1999/02/22-rdf-syntax-ns#	84
53	http://www.w3.org/2000/01/rdf-schema#	84
53	opendatacommunities.org	252
54	http://purl.org/dc/terms/	78
54	http://purl.org/linked-data/cube#	156
54	http://www.w3.org/1999/02/22-rdf-syntax-ns#	78
54	http://www.w3.org/2000/01/rdf-schema#	78
54	opendatacommunities.org	312
55	http://purl.org/dc/terms/	8
55	http://rdfs.org/ns/void#	3
55	http://www.w3.org/1999/02/22-rdf-syntax-ns#	3
55	http://www.w3.org/2000/01/rdf-schema#	2
55	http://www.w3.org/ns/dcat#	2
55	publishmydata.com	3
56	http://purl.org/dc/terms/	8
56	http://purl.org/linked-data/cube#	176
56	http://rdfs.org/ns/void#	3
56	http://www.w3.org/1999/02/22-rdf-syntax-ns#	89
56	http://www.w3.org/2000/01/rdf-schema#	90
56	http://www.w3.org/ns/dcat#	1
56	opendatacommunities.org	264
56	publishmydata.com	3
57	http://purl.org/dc/terms/	9
57	http://purl.org/linked-data/cube#	188
57	http://rdfs.org/ns/void#	3
57	http://www.w3.org/1999/02/22-rdf-syntax-ns#	95
57	http://www.w3.org/2000/01/rdf-schema#	96
57	http://www.w3.org/ns/dcat#	1
57	opendatacommunities.org	282
57	publishmydata.com	3
58	http://purl.org/dc/terms/	89
58	http://purl.org/linked-data/cube#	178
58	http://www.w3.org/1999/02/22-rdf-syntax-ns#	89
58	http://www.w3.org/2000/01/rdf-schema#	89
58	opendatacommunities.org	356
59	http://purl.org/linked-data/cube#	178
59	http://purl.org/linked-data/sdmx/2009/attribute#	1
59	http://purl.org/linked-data/sdmx/2009/dimension#	178
