startDatasetID	destDatasetID	predicate	triples
1010	643	http://xmlns.com/foaf/0.1/knows	1
1010	867	http://xmlns.com/foaf/0.1/knows	1
1010	559	http://rdfs.org/sioc/ns#follows	1
1010	657	http://xmlns.com/foaf/0.1/based_near	1
1010	796	http://xmlns.com/foaf/0.1/knows	4
1011	558	http://www.semanlink.net/2001/00/semanlink-schema#tag	12
1011	970	http://www.w3.org/2000/01/rdf-schema#seeAlso	1
1011	846	http://www.w3.org/2000/01/rdf-schema#seeAlso	1
1011	815	http://webns.net/mvcb/generatorAgent	2
1011	815	http://webns.net/mvcb/errorReportsTo	2
1011	627	http://www.w3.org/2000/01/rdf-schema#seeAlso	1
1011	918	http://webns.net/mvcb/errorReportsTo	1
1011	997	http://www.w3.org/2000/01/rdf-schema#seeAlso	2
1011	794	http://www.w3.org/2000/01/rdf-schema#seeAlso	1
1012	824	http://www.w3.org/2004/02/skos/core#closeMatch	1
1013	992	http://rdfs.org/ns/void#vocabulary	12
1013	992	http://purl.org/linked-data/api/vocab#property	4
1013	992	http://rdfs.org/ns/void#feature	6
1013	992	http://purl.org/vocommons/voaf#specializes	1
1013	277	http://xmlns.com/foaf/0.1/primaryTopic	2
1013	888	http://purl.org/dc/terms/language	2
102	263	http://purl.org/dc/terms/publisher	1
102	29	http://purl.org/dc/terms/isReplacedBy	1
104	142	http://purl.org/linked-data/cube#dataSet	88
104	145	http://purl.org/linked-data/sdmx/2009/dimension#refArea	88
104	263	http://purl.org/linked-data/sdmx/2009/dimension#refPeriod	88
105	115	http://purl.org/linked-data/cube#dataSet	79
105	145	http://purl.org/linked-data/sdmx/2009/dimension#refArea	79
105	263	http://purl.org/linked-data/sdmx/2009/dimension#refPeriod	165
105	282	http://purl.org/linked-data/sdmx/2009/dimension#refArea	86
106	247	http://purl.org/dc/terms/spatial	1
106	247	http://data.opendatascotland.org/def/statistical-dimensions/refArea	963
106	263	http://data.opendatascotland.org/def/statistical-dimensions/refPeriod	963
107	146	http://purl.org/linked-data/cube#dataSet	90
107	145	http://purl.org/linked-data/sdmx/2009/dimension#refArea	90
107	263	http://purl.org/linked-data/sdmx/2009/dimension#refPeriod	90
108	247	http://purl.org/dc/terms/spatial	1
108	247	http://data.opendatascotland.org/def/statistical-dimensions/refArea	970
108	263	http://data.opendatascotland.org/def/statistical-dimensions/refPeriod	970
109	897	http://rdfs.org/sioc/ns#has_space	2
109	897	http://rdfs.org/sioc/ns#topic	52
109	897	http://rdfs.org/sioc/ns#related_to	13
109	897	http://rdfs.org/sioc/ns#has_creator	2
109	897	http://xmlns.com/foaf/0.1/maker	2
11	247	http://opendatacommunities.org/def/ontology/geography/refArea	11
11	263	http://opendatacommunities.org/def/ontology/time/refPeriod	11
110	897	http://rdfs.org/sioc/ns#has_space	2
