datasetID	subjects	triples
507	3821	18499
508	556	2969
509	2	13
510	14	131
511	2	43
512	337	1330
513	18144	47257
515	21345	31527
516	27	144
517	10283	17379
518	7	38
519	178	15089
520	15118	363106
521	2227	8755
522	1215184	12552750
523	2	17
524	1511	42946
525	1562	6254
526	9	53
527	125	496
528	49290	124116
529	13	103
530	7	45
531	5	32
532	8	60
533	3	50
534	6	27
535	3	19
536	2	29
537	3	47
538	16	99
539	3	20
540	193	1224
541	2	17
542	22	84
543	30	207
544	2847	21720
545	6	49
546	8	48
547	2	12
548	6	17
549	15	151
550	27	174
551	14	66
552	11	54
553	3	35
554	5	46
555	3	17
556	8	55
557	12	90
558	2598	14458
559	13	77
560	3	16
561	7	172
562	37	180
563	9	88
564	11	66
565	2	15
566	5	20
567	72	7851
568	10	192
569	5	40
570	19	115
571	1123	4637
572	6	26
573	16	121
574	3	43
575	4	19
576	12	45
577	5	42
578	9	47
579	33	198
580	2	9
581	26	86
582	139114	478703
583	6	16
584	58	229
585	2	19
586	26	175
587	1438	7698
588	12	65
589	41	133
590	534	643
591	5	15
592	5	74
593	22619	267784
594	6	53
595	8	130
596	1883	11785
597	9	64
598	20	89
599	15184	68696
600	9	60
601	55	254
602	6	40
603	11	75
604	10	49
605	62	480
606	10	38
607	3	18
608	17	130
609	146	465
610	8	52
611	19	123
612	4	30
613	575012	3043270
614	3390	20511
615	29	183
617	471	2487
618	58	286
619	26185	139422
620	16	49
621	8	10
622	7	40
623	17	129
624	27	222
625	5	26
626	46	184
627	31	148
628	432	2080
629	14	96
630	14	162
631	8	35
632	16	561
633	15	119
634	4	50
635	19	535
636	10	60
637	118	640
638	12298	213020
639	2	14
640	5	29
641	8	58
642	8	34
643	57	450
644	4	27
645	29	181
646	19	100
647	2	15
648	5721	23022
649	6	84
650	951	5745
651	1971	30021
652	1	70
653	5	69
654	9	26
655	11	53
656	14	108
657	3964	93003
658	3	38
659	9	44
660	23	181
661	10	75
662	5	30
663	40	201
664	75	389
665	127	1551
666	14	79
667	1509250	5646222
669	14079	61909
670	61903	352236
671	1001	9727
672	7	24
673	1861	12616
674	775	4049
675	8	12
676	17	131
677	2	26
678	6	34
679	14	230
680	5	37
681	49	368
682	4	26
683	9	147
684	7697	94404
685	14	124
686	595	1190
687	3	32
688	164	821
689	3	22
690	6799	100695
691	41	192
692	2	14
693	87	584
694	12	64
695	2	16
696	7	33
697	28287	63058
698	11	64
699	4	24
700	7	28
701	185	1109
702	10	186
703	17	130
704	5	24
705	4	32
706	4	29
707	245	2265
708	9	64
709	7	32
710	6	12
711	8	26
712	5	85
713	4729	17890
714	52	287
715	4	28
716	6256	49645
717	17	131
718	3	29
719	17	130
720	12	73
721	2	7
722	93	567
723	14	66
724	5	12
725	3	23
726	837	1870
727	979	5148
728	25	183
729	7	37
730	6	27
